SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,TEAM,TEAM_ID,CATCHES,WK_CATCHES,DIRECT_RO,INDIRECT_RO,STUMPINGS,TOTAL,League Name
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
7,790,32995,Stanley Fabri,3056139,SINOVILLE 3,,SINOVILLE 3,4556,5,0,1,0,0,6,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,2024 Titans Second League
8,790,32995,Frits Snyman,2936846,TUKS 5,,TUKS 5,4558,1,4,0,0,0,5,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,2024 Titans Second League
9,790,32995,Christian Strydom,2936847,TUKS 5,,TUKS 5,4558,5,0,0,0,0,5,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,2024 Titans Second League
10,790,32995,Hendre Du toit,2987477,SINOVILLE 3,,SINOVILLE 3,4556,5,0,0,0,0,5,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,2024 Titans Second League
11,790,32995,Niel Coetzee,3018224,TUT 3,,TUT 3,4559,0,5,0,0,0,5,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,2024 Titans Second League
12,790,32995,Neil Jansen,4655262,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,5,0,0,0,0,5,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2024 Titans Second League
13,790,32995,Nevada Jacobs,4673820,CBCOB 3,,CBCOB 3,4552,5,0,0,0,0,5,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,2024 Titans Second League
14,790,32995,Martin Van Tonder,2840539,TUKS 5,,TUKS 5,4558,4,0,0,0,0,4,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,2024 Titans Second League
15,790,32995,Nico Minnaar,3713344,TUT 3,,TUT 3,4559,4,0,0,0,0,4,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,2024 Titans Second League
16,790,32995,Rigardt Saaiman,3729566,CBCOB 3,,CBCOB 3,4552,4,0,0,0,0,4,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,2024 Titans Second League
17,790,32995,Albert Myburgh,4024779,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,4,0,0,0,0,4,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2024 Titans Second League
18,790,32995,Kyle Klese,4715785,PHSOB 3,,PHSOB 3,4555,0,4,0,0,0,4,2024 Titans Second League
,790,32995,PHSOB 3,,,,,,,,,,,,2024 Titans Second League
19,790,32995,Alec Jordaan,4715851,CBCOB 3,,CBCOB 3,4552,4,0,0,0,0,4,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,2024 Titans Second League
20,790,32995,Tshepo Molite,4892046,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,4,0,0,0,0,4,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2024 Titans Second League
21,790,32995,Riccardo Oosthuizen,2936842,TUKS 5,,TUKS 5,4558,3,0,0,1,0,4,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,2024 Titans Second League
22,790,32995,Pieter Roos,2939189,HARLEQUINS 3,,HARLEQUINS 3,4553,2,1,1,0,0,4,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,2024 Titans Second League
23,790,32995,Piet Botha,4063611,SINOVILLE 3,,SINOVILLE 3,4556,3,0,1,0,0,4,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,2024 Titans Second League
24,790,32995,Rudi Loibner,2935397,CBCOB 3,,CBCOB 3,4552,1,2,0,0,0,3,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,2024 Titans Second League
25,790,32995,Dewald Basson,3018234,TUT 3,,TUT 3,4559,3,0,0,0,0,3,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,2024 Titans Second League
26,790,32995,David Fourie,3018346,CBCOB 3,,CBCOB 3,4552,3,0,0,0,0,3,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,2024 Titans Second League
27,790,32995,Nico de Bruyn,3180581,TUKS 5,,TUKS 5,4558,3,0,0,0,0,3,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,2024 Titans Second League
28,790,32995,Lehlohonolo Moshoati,3266899,TUKS 5,,TUKS 5,4558,3,0,0,0,0,3,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,2024 Titans Second League
29,790,32995,Jacques Van Rooyen,3795662,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,3,0,0,0,0,3,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2024 Titans Second League
30,790,32995,Hanco Hertzog,4165763,SINOVILLE 4,,SINOVILLE 4,4557,3,0,0,0,0,3,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
31,790,32995,Justin Van Bassen,4673824,CBCOB 3,,CBCOB 3,4552,0,3,0,0,0,3,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,2024 Titans Second League
32,790,32995,Juan Human,4673828,HARLEQUINS 3,,HARLEQUINS 3,4553,3,0,0,0,0,3,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,2024 Titans Second League
33,790,32995,Ludwig Erasmus,4702802,SINOVILLE 4,,SINOVILLE 4,4557,1,2,0,0,0,3,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
34,790,32995,Matt Vd Mescht,4702807,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,3,0,0,0,0,3,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2024 Titans Second League
35,790,32995,Elgun Boecker,4702810,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,3,0,0,0,0,3,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2024 Titans Second League
36,790,32995,Berno Klopper,3180553,SINOVILLE 3,,SINOVILLE 3,4556,2,0,0,1,0,3,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,2024 Titans Second League
37,790,32995,Steyn Niemand,4116052,HARLEQUINS 3,,HARLEQUINS 3,4553,0,2,0,0,1,3,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,2024 Titans Second League
38,790,32995,Wiehan Nel,2936753,SINOVILLE 3,,SINOVILLE 3,4556,2,0,0,0,0,2,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,2024 Titans Second League
39,790,32995,Gerhard De Bruin,2936835,TUKS 5,,TUKS 5,4558,2,0,0,0,0,2,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,2024 Titans Second League
40,790,32995,Gerrie Viljoen,3015413,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,2,0,0,0,0,2,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2024 Titans Second League
41,790,32995,Charl Prinsloo,3018226,TUT 3,,TUT 3,4559,2,0,0,0,0,2,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,2024 Titans Second League
42,790,32995,Stefan Grobler,3018230,TUT 3,,TUT 3,4559,2,0,0,0,0,2,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,2024 Titans Second League
43,790,32995,Paul Gouws,3056110,CBCOB 3,,CBCOB 3,4552,2,0,0,0,0,2,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,2024 Titans Second League
44,790,32995,JP Roets,3195753,SINOVILLE 4,,SINOVILLE 4,4557,2,0,0,0,0,2,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
45,790,32995,Andre Van wyk,3266939,TUKS 5,,TUKS 5,4558,2,0,0,0,0,2,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,2024 Titans Second League
46,790,32995,Dylan van Wyk,3277436,SINOVILLE 3,,SINOVILLE 3,4556,2,0,0,0,0,2,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,2024 Titans Second League
47,790,32995,Divan Cilliers,3713448,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,2,0,0,0,0,2,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2024 Titans Second League
48,790,32995,Marcel Cilliers,3713449,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,2,0,0,0,0,2,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2024 Titans Second League
49,790,32995,Elandré van den Berg,3713456,TUKS 5,,TUKS 5,4558,2,0,0,0,0,2,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,2024 Titans Second League
50,790,32995,Andre Kruyshaar,3772081,SINOVILLE 3,,SINOVILLE 3,4556,2,0,0,0,0,2,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,2024 Titans Second League
51,790,32995,Piet Botha,4198490,SINOVILLE 4,,SINOVILLE 4,4557,2,0,0,0,0,2,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
52,790,32995,Hein Swanepoel,4649924,HARLEQUINS 3,,HARLEQUINS 3,4553,2,0,0,0,0,2,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,2024 Titans Second League
53,790,32995,Luke Cannata,4704974,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,4560,2,0,0,0,0,2,2024 Titans Second League
,790,32995,CENTURION KAVALIERS 3,,,,,,,,,,,,2024 Titans Second League
54,790,32995,Johan Feute,4729909,SINOVILLE 3,,SINOVILLE 3,4556,2,0,0,0,0,2,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,2024 Titans Second League
55,790,32995,Robert de Villiers,4729852,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,4560,0,1,0,0,1,2,2024 Titans Second League
,790,32995,CENTURION KAVALIERS 3,,,,,,,,,,,,2024 Titans Second League
56,790,32995,Jody Buys,4729873,HARLEQUINS 3,,HARLEQUINS 3,4553,1,0,1,0,0,2,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,2024 Titans Second League
57,790,32995,Oliver Beaclerk,4729876,HARLEQUINS 3,,HARLEQUINS 3,4553,1,0,1,0,0,2,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,2024 Titans Second League
58,790,32995,Mohapi Molete,4756704,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,1,0,1,0,0,2,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2024 Titans Second League
59,790,32995,Johan Broekman,4756705,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,0,1,1,0,0,2,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2024 Titans Second League
60,790,32995,James van der Merwe,5000388,SINOVILLE 3,,SINOVILLE 3,4556,1,0,1,0,0,2,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,2024 Titans Second League
61,790,32995,Charl Foxcroft,2097177,TUT 3,,TUT 3,4559,1,0,0,0,0,1,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,2024 Titans Second League
62,790,32995,Steven Meyburgh,2937220,PHSOB 3,,PHSOB 3,4555,1,0,0,0,0,1,2024 Titans Second League
,790,32995,PHSOB 3,,,,,,,,,,,,2024 Titans Second League
63,790,32995,Gunter Geyer,2985804,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,1,0,0,0,0,1,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2024 Titans Second League
64,790,32995,Hendre Du toit,2987477,SINOVILLE 4,,SINOVILLE 4,4557,1,0,0,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
65,790,32995,Stephan Van Der Berg,2987583,CBCOB 3,,CBCOB 3,4552,1,0,0,0,0,1,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,2024 Titans Second League
66,790,32995,Jeandre Roux,3018228,TUT 3,,TUT 3,4559,1,0,0,0,0,1,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,2024 Titans Second League
67,790,32995,Jaydwin Venske,3031828,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,4560,1,0,0,0,0,1,2024 Titans Second League
,790,32995,CENTURION KAVALIERS 3,,,,,,,,,,,,2024 Titans Second League
68,790,32995,Wayne Scott,3056109,CBCOB 3,,CBCOB 3,4552,1,0,0,0,0,1,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,2024 Titans Second League
69,790,32995,Riaan Davel,3163488,SINOVILLE 4,,SINOVILLE 4,4557,1,0,0,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
70,790,32995,Berno Klopper,3180553,SINOVILLE 4,,SINOVILLE 4,4557,1,0,0,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
71,790,32995,JJ Du Toit,3226765,SINOVILLE 4,,SINOVILLE 4,4557,1,0,0,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
72,790,32995,Tihardt Kruger,3242942,TUKS 5,,TUKS 5,4558,1,0,0,0,0,1,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,2024 Titans Second League
73,790,32995,Christo Swanepoel,3299532,PHSOB 4,,PHSOB 4,4561,1,0,0,0,0,1,2024 Titans Second League
,790,32995,PHSOB 4,,,,,,,,,,,,2024 Titans Second League
74,790,32995,Chris Coetzee,3719304,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,4560,1,0,0,0,0,1,2024 Titans Second League
,790,32995,CENTURION KAVALIERS 3,,,,,,,,,,,,2024 Titans Second League
75,790,32995,Stefan Olivier,3729935,TUT 3,,TUT 3,4559,1,0,0,0,0,1,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,2024 Titans Second League
76,790,32995,Leon Bender,3730114,CBCOB 3,,CBCOB 3,4552,1,0,0,0,0,1,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,2024 Titans Second League
77,790,32995,Reinhardt Hamman,3745388,SINOVILLE 4,,SINOVILLE 4,4557,1,0,0,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
78,790,32995,Danie Kruger,3745390,SINOVILLE 4,,SINOVILLE 4,4557,1,0,0,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
79,790,32995,Christie Klopper,3772083,SINOVILLE 3,,SINOVILLE 3,4556,0,1,0,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,2024 Titans Second League
80,790,32995,Andre Schoombee,3772961,SINOVILLE 3,,SINOVILLE 3,4556,1,0,0,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,2024 Titans Second League
81,790,32995,Callen Stephen,3782749,PHSOB 3,,PHSOB 3,4555,0,1,0,0,0,1,2024 Titans Second League
,790,32995,PHSOB 3,,,,,,,,,,,,2024 Titans Second League
82,790,32995,Simion Muller,3783164,CBCOB 3,,CBCOB 3,4552,0,1,0,0,0,1,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,2024 Titans Second League
83,790,32995,Jaden Beukes,3783165,CBCOB 3,,CBCOB 3,4552,1,0,0,0,0,1,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,2024 Titans Second League
84,790,32995,Wessel Herbst,3783166,CBCOB 3,,CBCOB 3,4552,1,0,0,0,0,1,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,2024 Titans Second League
85,790,32995,Travis Joshua,3783171,HARLEQUINS 3,,HARLEQUINS 3,4553,1,0,0,0,0,1,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,2024 Titans Second League
86,790,32995,Hanco Hertzog,3928457,SINOVILLE 3,,SINOVILLE 3,4556,1,0,0,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,2024 Titans Second League
87,790,32995,Jaco CBC,4046234,CBCOB 3,,CBCOB 3,4552,1,0,0,0,0,1,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,2024 Titans Second League
88,790,32995,Ian Dorfling,4063612,SINOVILLE 3,,SINOVILLE 3,4556,1,0,0,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,2024 Titans Second League
89,790,32995,Pieter Oosthuizen,4063614,SINOVILLE 3,,SINOVILLE 3,4556,1,0,0,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,2024 Titans Second League
90,790,32995,Peter Harold,4116053,HARLEQUINS 3,,HARLEQUINS 3,4553,1,0,0,0,0,1,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,2024 Titans Second League
91,790,32995,Gunter Geyer,4655258,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,1,0,0,0,0,1,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2024 Titans Second League
92,790,32995,Acelan Pruss,4655260,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,1,0,0,0,0,1,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2024 Titans Second League
93,790,32995,Gary Van Blerk,4673569,TUT 3,,TUT 3,4559,1,0,0,0,0,1,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,2024 Titans Second League
94,790,32995,Divan Potgieter,4673570,TUT 3,,TUT 3,4559,1,0,0,0,0,1,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,2024 Titans Second League
95,790,32995,Christopher Volschenk,4673575,SINOVILLE 3,,SINOVILLE 3,4556,1,0,0,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,2024 Titans Second League
96,790,32995,Stiaan Heymans,4673670,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,1,0,0,0,0,1,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2024 Titans Second League
97,790,32995,Franco Schmidt,4673821,CBCOB 3,,CBCOB 3,4552,1,0,0,0,0,1,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,2024 Titans Second League
98,790,32995,Ewan Erasmus,4673825,HARLEQUINS 3,,HARLEQUINS 3,4553,1,0,0,0,0,1,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,2024 Titans Second League
99,790,32995,Nathan Stryfom,4673826,HARLEQUINS 3,,HARLEQUINS 3,4553,1,0,0,0,0,1,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,2024 Titans Second League
100,790,32995,Jd Van wyk,4702806,SINOVILLE 4,,SINOVILLE 4,4557,1,0,0,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
101,790,32995,Benjamin Cronje,4702808,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,1,0,0,0,0,1,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2024 Titans Second League
102,790,32995,Werner Marneweck,4715784,TUKS 5,,TUKS 5,4558,1,0,0,0,0,1,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,2024 Titans Second League
103,790,32995,Ruan Venter,4715814,SINOVILLE 4,,SINOVILLE 4,4557,1,0,0,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
104,790,32995,Riaan Davel,4715815,SINOVILLE 4,,SINOVILLE 4,4557,1,0,0,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
105,790,32995,Tiaan Borman,4715816,SINOVILLE 4,,SINOVILLE 4,4557,1,0,0,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
106,790,32995,Divan Haasbroek,4715852,CBCOB 3,,CBCOB 3,4552,1,0,0,0,0,1,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,2024 Titans Second League
107,790,32995,Hennie Jnr Smit,4877007,SINOVILLE 4,,SINOVILLE 4,4557,1,0,0,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
108,790,32995,Henre Quins,4878344,HARLEQUINS 3,,HARLEQUINS 3,4553,1,0,0,0,0,1,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,2024 Titans Second League
109,790,32995,JEANDRE Du Bruyn,4891852,TUT 3,,TUT 3,4559,1,0,0,0,0,1,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,2024 Titans Second League
110,790,32995,Calyle Stolze,4896935,HARLEQUINS 3,,HARLEQUINS 3,4553,1,0,0,0,0,1,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,2024 Titans Second League
111,790,32995,Luke Marshell,4973936,HARLEQUINS 3,,HARLEQUINS 3,4553,1,0,0,0,0,1,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,2024 Titans Second League
112,790,32995,Ryan Kruger,4973940,SINOVILLE 3,,SINOVILLE 3,4556,1,0,0,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,2024 Titans Second League
113,790,32995,Vuks Bamuza,5000466,HARLEQUINS 3,,HARLEQUINS 3,4553,1,0,0,0,0,1,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,2024 Titans Second League
114,790,32995,Clinton Da costa,5000469,HARLEQUINS 3,,HARLEQUINS 3,4553,1,0,0,0,0,1,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,2024 Titans Second League
115,790,32995,Enrico Hepburn,5034371,SINOVILLE 3,,SINOVILLE 3,4556,1,0,0,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,2024 Titans Second League
116,790,32995,Nathan Hall,5045108,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,4560,1,0,0,0,0,1,2024 Titans Second League
,790,32995,CENTURION KAVALIERS 3,,,,,,,,,,,,2024 Titans Second League
117,790,32995,Ryan Kruger,2698181,SINOVILLE 4,,SINOVILLE 4,4557,0,0,1,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
118,790,32995,Wian Nel,2987474,SINOVILLE 4,,SINOVILLE 4,4557,0,0,1,0,0,1,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
119,790,32995,Lessego Teffo,4196334,HARLEQUINS 3,,HARLEQUINS 3,4553,0,0,1,0,0,1,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,2024 Titans Second League
120,790,32995,Wendell Plaatjies,4673818,CBCOB 3,,CBCOB 3,4552,0,0,1,0,0,1,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,2024 Titans Second League
121,790,32995,Sj Delport,4704968,SINOVILLE 3,,SINOVILLE 3,4556,0,0,0,1,0,1,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,2024 Titans Second League
122,790,32995,Zadian Cbc3,4874626,CBCOB 3,,CBCOB 3,4552,0,0,1,0,0,1,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,2024 Titans Second League
123,790,32995,Dian Botha,2934759,SINOVILLE 3,,SINOVILLE 3,4556,0,0,0,0,0,0,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,2024 Titans Second League
124,790,32995,Marius Bornman,2936833,TUKS 5,,TUKS 5,4558,0,0,0,0,0,0,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,2024 Titans Second League
125,790,32995,Nico Kruger,2936834,TUKS 5,,TUKS 5,4558,0,0,0,0,0,0,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,2024 Titans Second League
126,790,32995,Ivan Bekker,2936839,TUKS 5,,TUKS 5,4558,0,0,0,0,0,0,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,2024 Titans Second League
127,790,32995,Eben Botha,2936848,TUKS 5,,TUKS 5,4558,0,0,0,0,0,0,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,2024 Titans Second League
128,790,32995,Chad Fortman,2936899,PHSOB 3,,PHSOB 3,4555,0,0,0,0,0,0,2024 Titans Second League
,790,32995,PHSOB 3,,,,,,,,,,,,2024 Titans Second League
129,790,32995,Christo Swanepoel,2936900,PHSOB 3,,PHSOB 3,4555,0,0,0,0,0,0,2024 Titans Second League
,790,32995,PHSOB 3,,,,,,,,,,,,2024 Titans Second League
130,790,32995,Emil Rolfes,2936903,PHSOB 3,,PHSOB 3,4555,0,0,0,0,0,0,2024 Titans Second League
,790,32995,PHSOB 3,,,,,,,,,,,,2024 Titans Second League
131,790,32995,Ryan Rossouw,2936911,PHSOB 3,,PHSOB 3,4555,0,0,0,0,0,0,2024 Titans Second League
,790,32995,PHSOB 3,,,,,,,,,,,,2024 Titans Second League
132,790,32995,Matt Rogerson,2936914,PHSOB 3,,PHSOB 3,4555,0,0,0,0,0,0,2024 Titans Second League
,790,32995,PHSOB 3,,,,,,,,,,,,2024 Titans Second League
133,790,32995,Adriaan Ferreira,2936919,PHSOB 3,,PHSOB 3,4555,0,0,0,0,0,0,2024 Titans Second League
,790,32995,PHSOB 3,,,,,,,,,,,,2024 Titans Second League
134,790,32995,Alain Grové,2937228,PHSOB 4,,PHSOB 4,4561,0,0,0,0,0,0,2024 Titans Second League
,790,32995,PHSOB 4,,,,,,,,,,,,2024 Titans Second League
135,790,32995,Ettienne Tait,2939149,HARLEQUINS 3,,HARLEQUINS 3,4553,0,0,0,0,0,0,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,2024 Titans Second League
136,790,32995,Mohammed B Korowlay,2939170,HARLEQUINS 3,,HARLEQUINS 3,4553,0,0,0,0,0,0,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,2024 Titans Second League
137,790,32995,Keaton Steenkamp,2944947,SINOVILLE 4,,SINOVILLE 4,4557,0,0,0,0,0,0,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
138,790,32995,Stefan Strydom,2985833,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,0,0,0,0,0,0,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,2024 Titans Second League
139,790,32995,Zander Jordaan,2987471,SINOVILLE 4,,SINOVILLE 4,4557,0,0,0,0,0,0,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
140,790,32995,Dylan Van wyk,2987473,SINOVILLE 4,,SINOVILLE 4,4557,0,0,0,0,0,0,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
141,790,32995,Juan Van den berg,2987480,SINOVILLE 4,,SINOVILLE 4,4557,0,0,0,0,0,0,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,2024 Titans Second League
